ticker,counterparty,currency,koinlyid
2CD,rDxLqyy7UEAbbz1kC9HqnjLXae3KZLPNPM,2CD,ID:6089729
AFA,ratAFAXeeKaVuAxuWB9W1LuXD5m7Aqf2BH,AFA,ID:173814
BADXTRUCKZNFT,rKas8SuSUBs7qQ7TaC1fQw3sviXBethJ2r,42414478547275636B7A4E465400000000000000,ID:5486386
BANANA,r3KSyXmYTYd6wd6ZwtrbEhQMjnJW3xpK4j,42414E414E410000000000000000000000000000,ID:5382077
BAPE,r3KSyXmYTYd6wd6ZwtrbEhQMjnJW3xpK4j,4241504500000000000000000000000000000000,ID:5592577
BET,rUeKohnBUioHMPV3Xptem3Sfi6XFjXWCHx,BET,ID:4389484
CLUB,r9pAKbAMx3wpMAS9XvvDzLYppokfKWTSq4,434C554200000000000000000000000000000000,ID:5381988
CLV,rK8rYUs6gFH4QJ9JS814EF9112gKuYZZT,CLV,ID:9511442
CNFT,rUte5RZgB68nEU5QfjfM8qD6HtmKo5ebqo,434E465400000000000000000000000000000000,ID:5382098
CSC,rCSCManTZ8ME9EoLrSHHYKW8PPwWMgkwr,CSC,ID:1174
CX1,rKk7mu1dNB25fsPEJ4quoQd5B8QmaxewKi,CX1,ID:172334
DVT,rQDuc1MyMjh4fCgVg8bNATYNWcpgz2BDQ2,DVT,ID:15943690
EVR,rEvernodee8dJLaFsujS6q1EiXvZYmHXr8,EVR,ID:14799
ELS,rHXuEaRYnnJHbDeuBH5w8yPh5uwNVh5zAg,ELS,ID:57550
EQ,rpakCr61Q92abPXJnVboKENmpKssWyHpwu,457175696C69627269756D000000000000000000,ID:41562
FATCAT,rQ9oCoSZx72ztd1rpifUnGfwCwUdnr4Rds,4661744361740000000000000000000000000000,ID:5575570
FLEA,r3G2QxjkCJCqDub6z3SSrAVoJQVEsJ2NtU,464C454100000000000000000000000000000000,ID:5918755
FRACTAL,rw9oZfkjNkaarwpyrTLjfHzfnUuoGFY8V8,4672616374616C00000000000000000000000000,ID:5409059
FRL,r9GTczHnmvkufpdBHvE2iRA1FA3NYPBWya,46524C0000000000000000000000000000000000,ID:13578631
FSE,rs1MKY54miDtMFEGyNuPd3BLsXauFZUSrj,FSE,ID:173811
GARY,rw9x7P97DiZ1qWoGXefiztPz49eYNJJtjx,4741525900000000000000000000000000000000,ID:5381113
GUY, rJmKe5N1JPa4ocst5MAbVpu3Ggzv4kdVku,GUY,ID:186194
HADA,rsR5JSisuXsbipP6sGdKdz5agjxn8BhHUC,4841444100000000000000000000000000000000,ID:5382136
HADALITE,rHiPGSMBbzDGpoTPmk2dXaTk12ZV1pLVCZ,484144414C495445000000000000000000000000,ID:5382133
HCATS,rGomRdjcf3e5zW5qjD7KU6YZmWbAk8u3hp,4843415453000000000000000000000000000000,ID:5409067
IRE,rfTYvAG86Y1L61RQjbxHTyJmphYzHgguCd,IRE,ID:186185
JSC,rJ726mi7cXLfsnuehL84nmjjK14Rmx2ZQG,JSC,ID:298660
JUNK,r4pDJ7bT1rANe9nAdFR9pyVRwtJZQUEFpj,4A554E4B00000000000000000000000000000000,ID:5387279
LEDGERPUNKS,rLpunkscgfzS8so59bUCJBVqZ3eHZue64r,4C656467657250756E6B73000000000000000000,ID:5766679
LOX,rLLJvh6bwj2eTYwzLL484AW6EyH4rdZqWZ,LOX,ID:11795
MONKEE,rG5tVG4yoGvMTKiFEEEFpjG3qj2tGMP44o,4D4F4E4B45450000000000000000000000000000,ID:5450645
MoonRock,rEptSPn856gzRapieyKkBowCdLU7xC6BgF,4D6F6F6E526F636B000000000000000000000000,ID:15347335
OAR,rJf7VZxBt6g2rBTan6uve89U8PRzSUy8bS,OAR,ID:5607298
PARC,rE42R1mbjGtMzzFTL5aqpbTrj3TDVq71jo,5041524300000000000000000000000000000000,ID:5382118
PHX,rfEJ1ksD22TsCy8hdKoJuC6Xfc33VCKPUs,PHX,ID:448199
PLR,rNSYhWLhuHvmURwWbJPBKZMSPsyG5Qek17,PLR,ID:20330157
PXCS,rNwgtMaqziGqLiDzeXE91B8D2cB5m2fDhc,5058435300000000000000000000000000000000,ID:5416658
RDC,rDuckCoinu8jntxtYoWRhEv4oNvsLYx6EQ,RDC,ID:16141263
SEC,rDN4Ux1WFJJsPCdqdfZgrDZ2icxdAmg2w,SEC,ID:181217
